territoireJeuDonnees,nomScientifiqueRef,nomCite,regne,classe,genre,espece,dateObservation,datePrecision,decennie,annee,mois,dateDetermination,latitude,longitude,precisionGeometrieMetres,commune,departement,region,altitudeMin,atitudeMax,especeEvalueeLR,statutBiogeoEspeceTaxref
France metropolitaine,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2012-04-25T00:00:00Z,DAY,2010,2012,4,,43.07881,6.12954,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Introduit
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2013-12-04T00:00:00Z,DAY,2010,2013,12,,43.37261,5.15839,5000,,Bouches-du-Rhone,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-05-27T00:00:00Z,DAY,1990,1997,5,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2014-01-15T00:00:00Z,DAY,2010,2014,1,,43.18184,5.64314,5000,,Bouches-du-Rhone (mer territoriale),Facade Mediterranee,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2014-01-15T00:00:00Z,DAY,2010,2014,1,,43.18184,5.64314,5000,,Bouches-du-Rhone (mer territoriale),Facade Mediterranee,,,true,Present (indigene ou indetermine)
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2010-05-12T00:00:00Z,DAY,2010,2010,5,,-21.11022,55.28749,,Trois-Bassins,Reunion,La Reunion,541.0,613.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2005-05-31T00:00:00Z,DAY,2000,2005,5,,-21.05046,55.37568,,Saint-Paul,Reunion,La Reunion,1806.0,1869.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2009-04-28T00:00:00Z,DAY,2000,2009,4,,-21.1588,55.37665,,Saint-Leu,Reunion,La Reunion,1897.0,1956.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2013-07-25T00:00:00Z,DAY,2010,2013,7,,-21.20032,55.51683,,Tampon,Reunion,La Reunion,845.0,845.0,,Introduit envahissant
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-27T00:00:00Z,DAY,1990,1992,9,,43.16234,6.34946,7945,Bormes-les-Mimosas,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1993-09-27T00:00:00Z,DAY,1990,1993,9,,43.16504,6.25719,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1993-09-27T00:00:00Z,DAY,1990,1993,9,,43.16234,6.34946,7945,Bormes-les-Mimosas,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-27T00:00:00Z,DAY,1990,1994,9,,43.25856,6.13930,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
Occitanie,Bellis sylvestris,Bellis sylvestris Cyr.,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2013-03-14T00:00:00Z,DAY,2010,2013,3,,42.98049,2.74761,2952,Cascastel-des-Corbieres,Aude,Occitanie,319.0,319.0,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-27T00:00:00Z,DAY,1990,1994,9,,43.34845,6.14420,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-27T00:00:00Z,DAY,1990,1994,9,,43.25856,6.13930,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-27T00:00:00Z,DAY,1990,1994,9,,43.25491,6.26227,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-27T00:00:00Z,DAY,1990,1994,9,,43.25491,6.26227,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1995-09-27T00:00:00Z,DAY,1990,1995,9,,43.43468,6.27247,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1995-09-27T00:00:00Z,DAY,1990,1995,9,,43.43468,6.27247,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1995-09-27T00:00:00Z,DAY,1990,1995,9,,43.52457,6.27759,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2005-06-29T00:00:00Z,DAY,2000,2005,6,,-21.14148,55.3657,,Saint-Leu,Reunion,La Reunion,1865.0,1951.0,,Introduit envahissant
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1995-09-27T00:00:00Z,DAY,1990,1995,9,,43.43468,6.27247,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-27T00:00:00Z,DAY,1990,1998,9,,43.59838,6.77753,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-27T00:00:00Z,DAY,1990,1998,9,,43.57510,6.85635,4610,Tanneron,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-27T00:00:00Z,DAY,1990,1998,9,,43.59838,6.77753,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-27T00:00:00Z,DAY,1990,1998,9,,43.57510,6.85635,4610,Tanneron,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2019-12-17T00:00:00Z,DAY,2010,2019,12,,43.4809,3.73497,,Gigean,Herault,Occitanie,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2002-09-27T00:00:00Z,DAY,2000,2002,9,,43.25491,6.26227,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2002-09-27T00:00:00Z,DAY,2000,2002,9,,43.25491,6.26227,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1999-10-28T00:00:00Z,DAY,1990,1999,10,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1999-10-28T00:00:00Z,DAY,1990,1999,10,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1999-10-28T00:00:00Z,DAY,1990,1999,10,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2000-12-28T00:00:00Z,DAY,2000,2000,12,,43.44185,6.02574,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
Corse | France metropolitaine,Bellis annua,Bellis annua L.,Plantae,Equisetopsida,Bellis,Bellis annua,2013-06-06T00:00:00Z,DAY,2010,2013,6,,41.43501,9.18567,9683,Bonifacio,Corse-du-Sud,Corse,168.0,168.0,true,Present (indigene ou indetermine)
,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2014-10-22T00:00:00Z,DAY,2010,2014,10,22/10/2014,43.60562,5.74274,,Rians,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2002-02-28T00:00:00Z,DAY,2000,2002,2,,43.43088,6.39581,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2019-04-17T00:00:00Z,DAY,2010,2019,4,,48.80068,2.46525,65,Creteil,Val-de-Marne,Île-de-France,,,true,Introduit
France | Hors territoire,Bellis sylvestris,Bellis sylvestris Cirillo [1792],Plantae,Equisetopsida,Bellis,Bellis sylvestris,2011-02-19T00:00:00Z,DAY,2010,2011,2,,43.51370,3.41859,2575,Nizas,Herault,Occitanie,,,true,Present (indigene ou indetermine)
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2020-09-27T00:00:00Z,DAY,2020,2020,9,10/02/2021,48.60703,-2.82445,244,Binic-Étables-sur-Mer,Cotes-d'Armor,Bretagne,,,true,Introduit
France metropolitaine,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,1992-05-28T00:00:00Z,DAY,1990,1992,5,,43.17554,5.88881,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Introduit
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2020-08-02T00:00:00Z,DAY,2020,2020,8,,44.82646,1.1804,65,Roque-Gageac,Dordogne,Nouvelle-Aquitaine,,,true,Introduit
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2010-07-28T00:00:00Z,DAY,2010,2010,7,,-21.19222,55.75457,9827,Sainte-Rose,Reunion,La Reunion,,,,Introduit envahissant
France | Hors territoire,Erigeron karvinskianus,Erigeron karvinskianus DC. [1836],Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2013-06-11T00:00:00Z,DAY,2010,2013,6,,43.99610,5.04007,6177,Pernes-les-Fontaines,Vaucluse,Provence-Alpes-Cote d'Azur,,,true,Introduit
Corse | France metropolitaine,Bellis sylvestris,Bellis sylvestris Cyr.,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2015-01-27T00:00:00Z,DAY,2010,2015,1,,42.19131,9.38354,4830,Giuncaggio,Haute-Corse,Corse,96.0,96.0,true,Present (indigene ou indetermine)
Occitanie,Erigeron karvinskianus,Erigeron karwinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2002-06-04T00:00:00Z,DAY,2000,2002,6,,44.10690,3.87797,4773,Saint-Jean-du-Gard,Gard,Occitanie,247.0,247.0,true,Introduit
Reunion,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2017-12-01T00:00:00Z,DAY,2010,2017,12,,-21.19222,55.75457,9827,Sainte-Rose,Reunion,La Reunion,,,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2008-03-05T00:00:00Z,DAY,2000,2008,3,,-21.20051,55.51543,,,Reunion,La Reunion,840.0,859.0,,Introduit envahissant
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-28T00:00:00Z,DAY,1990,1992,9,,43.32358,6.46701,6330,Garde-Freinet,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-28T00:00:00Z,DAY,1990,1992,9,,43.42694,6.51913,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-28T00:00:00Z,DAY,1990,1992,9,,43.35648,6.61166,6875,Sainte-Maxime,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-28T00:00:00Z,DAY,1990,1992,9,,43.35648,6.61166,6875,Sainte-Maxime,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1993-09-28T00:00:00Z,DAY,1990,1993,9,,43.34100,6.39051,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-28T00:00:00Z,DAY,1990,1997,9,,43.25491,6.26227,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-28T00:00:00Z,DAY,1990,1997,9,,43.25113,6.38523,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-28T00:00:00Z,DAY,1990,1997,9,,43.25113,6.38523,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-28T00:00:00Z,DAY,1990,1997,9,,43.25113,6.38523,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-28T00:00:00Z,DAY,1990,1998,9,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-28T00:00:00Z,DAY,1990,1998,9,,43.24138,6.33999,8590,Collobrieres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2002-09-28T00:00:00Z,DAY,2000,2002,9,,43.33300,6.63675,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2002-09-28T00:00:00Z,DAY,2000,2002,9,,43.33300,6.63675,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1991-10-29T00:00:00Z,DAY,1990,1991,10,,43.26206,6.01631,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-10-29T00:00:00Z,DAY,1990,1998,10,,43.26206,6.01631,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-10-29T00:00:00Z,DAY,1990,1998,10,,43.34845,6.14420,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-10-29T00:00:00Z,DAY,1990,1998,10,,43.34845,6.14420,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-11-29T00:00:00Z,DAY,1990,1992,11,,43.59838,6.77753,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1996-04-29T00:00:00Z,DAY,1990,1996,4,,43.40135,6.44936,7006,Vidauban,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
Reunion,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2017-08-30T00:00:00Z,DAY,2010,2017,8,,-21.11684,55.46888,,Cilaos,Reunion,La Reunion,,,,Introduit envahissant
France,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,2020-10-16T00:00:00Z,DAY,2020,2020,10,,43.48279,6.07611,13,Correns,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France | Hors territoire,Erigeron karvinskianus,Erigeron karvinskianus DC. [1836],Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2011-09-11T00:00:00Z,DAY,2010,2011,9,,50.17610,1.62262,2679,Saint-Valery-sur-Somme,Somme,Hauts-de-France,,,true,Introduit
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2019-09-15T00:00:00Z,DAY,2010,2019,9,,47.52101,-2.30466,55,Roche-Bernard,Morbihan,Bretagne,,,true,Introduit
Corse | France metropolitaine,Bellis bernardii,Bellis bernardii Boiss. & Reuter,Plantae,Equisetopsida,Bellis,Bellis bernardii,2010-08-27T00:00:00Z,DAY,2010,2010,8,,41.97302,9.13842,4648,Ciamannacce,Corse-du-Sud,Corse,1798.0,1798.0,true,Endemique
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2005-12-08T00:00:00Z,DAY,2000,2005,12,,-21.21159,55.60694,,Tampon,Reunion,La Reunion,1843.0,1972.0,,Introduit envahissant
Reunion,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2013-12-10T00:00:00Z,DAY,2010,2013,12,,-21.20972,55.35863,6325,Avirons,Reunion,La Reunion,,,,Introduit envahissant
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1992-09-29T00:00:00Z,DAY,1990,1992,9,,43.10166,6.18990,18915,Hyeres,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1993-09-29T00:00:00Z,DAY,1990,1993,9,,43.17876,5.76598,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1993-09-29T00:00:00Z,DAY,1990,1993,9,,43.27760,5.85716,7400,Signes,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.62830,5.78767,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.62505,5.91146,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.62505,5.91146,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2020-05-25T00:00:00Z,DAY,2020,2020,5,,50.64593,1.61093,65,Condette,Pas-de-Calais,Hauts-de-France,,,true,Introduit
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.62505,5.91146,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2014-05-15T00:00:00Z,DAY,2010,2014,5,15/05/2014,48.41433,-4.49567,,Brest,Finistere,Bretagne,,,true,Introduit
Reunion,Erigeron karvinskianus,Erigeron karvinskianus,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2009-06-30T00:00:00Z,DAY,2000,2009,6,,-21.18336,55.69845,,Sainte-Rose,Reunion,La Reunion,1991.0,2005.0,,Introduit envahissant
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.62505,5.91146,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.59623,5.94494,3986,Varages,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1994-09-29T00:00:00Z,DAY,1990,1994,9,,43.59623,5.94494,3986,Varages,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1995-09-29T00:00:00Z,DAY,1990,1995,9,,43.15734,6.50271,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-29T00:00:00Z,DAY,1990,1997,9,,43.35856,5.77462,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-29T00:00:00Z,DAY,1990,1997,9,,43.37904,5.78497,4440,Nans-les-Pins,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1997-09-29T00:00:00Z,DAY,1990,1997,9,,43.35533,5.89782,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1998-09-29T00:00:00Z,DAY,1990,1998,9,,43.52457,6.27759,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1999-09-29T00:00:00Z,DAY,1990,1999,9,,43.52457,6.27759,5000,,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
Corse | France metropolitaine,Bellis annua,Bellis annua L.,Plantae,Equisetopsida,Bellis,Bellis annua,2007-10-01T00:00:00Z,DAY_RANGE,2000,2007,10,,41.51267,9.03863,5000,,Corse-du-Sud,Corse,5.0,5.0,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1999-09-29T00:00:00Z,DAY,1990,1999,9,,43.54236,6.36299,4463,Flayosc,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France metropolitaine,Bellis sylvestris,Bellis sylvestris Cirillo,Plantae,Equisetopsida,Bellis,Bellis sylvestris,1999-09-29T00:00:00Z,DAY,1990,1999,9,,43.53594,6.45452,5568,Draguignan,Var,Provence-Alpes-Cote d'Azur,,,true,Present (indigene ou indetermine)
France,Erigeron karvinskianus,Erigeron karvinskianus DC.,Plantae,Equisetopsida,Erigeron,Erigeron karvinskianus,2020-07-27T00:00:00Z,DAY,2020,2020,7,,48.03694,-1.92083,,Saint-Thurial,Ille-et-Vilaine,Bretagne,,,true,Introduit
